region,region_name,forest,forest_name,district,district_name,state
1,Northern Region,16,Lolo NF,13,,MT
1,Northern Region,17,Nez Perce NF,0,Supervisor’s Office,ID
1,Northern Region,17,Nez Perce NF,1,Salmon River RD,ID
1,Northern Region,17,Nez Perce NF,3,,ID
1,Northern Region,17,Nez Perce NF,4,Clearwater RD,ID
1,Northern Region,17,Nez Perce NF,5,Red River RD,ID
1,Northern Region,17,Nez Perce NF,6,Moose Creek RD,ID
1,Northern Region,17,Nez Perce NF,7,Selway RD,ID
1,Northern Region,17,Nez Perce NF,8,Elk City RD,ID
1,Northern Region,18,Dakota Prairie Grasslands,0,Supervisor’s Office,ND
1,Northern Region,18,Dakota Prairie Grasslands,1,Sheyenne RD,ND
1,Northern Region,18,Dakota Prairie Grasslands,6,Grand River RD,SD
1,Northern Region,18,Dakota Prairie Grasslands,7,Medora RD,ND
1,Northern Region,18,Dakota Prairie Grasslands,8,Mckenzie RD,ND
1,Northern Region,23,,,,MT
1,Northern Region,24,,,,MT
1,Northern Region,52,Aerial Fire Depot,,,MT
1,Northern Region,56,R1 Regional Office,,,MT
1,Northern Region,57,R1 Regional Products & Service,,,MT
2,Rocky Mountain Region,,,,,CO
2,Rocky Mountain Region,2,Bighorn NF,0,Supervisor’s Office,WY
2,Rocky Mountain Region,2,Bighorn NF,1,Buffalo RD,WY
2,Rocky Mountain Region,2,Bighorn NF,3,Medicine Wheel RD,WY
2,Rocky Mountain Region,2,Bighorn NF,4,Paintrock RD,WY
2,Rocky Mountain Region,2,Bighorn NF,5,Tensleep RD,WY
2,Rocky Mountain Region,2,Bighorn NF,6,Tongue RD,WY
2,Rocky Mountain Region,2,Bighorn NF,9,,WY
2,Rocky Mountain Region,3,Black Hills NF,0,Supervisor’s Office,SD
2,Rocky Mountain Region,3,Black Hills NF,1,Bearlodge RD,WY
2,Rocky Mountain Region,3,Black Hills NF,3,Hell Canyon RD,SD
2,Rocky Mountain Region,3,Black Hills NF,3,Hell Canyon RD,WY
2,Rocky Mountain Region,3,Black Hills NF,4,Elk Mtn RD (Legacy),SD
2,Rocky Mountain Region,3,Black Hills NF,4,Elk Mtn RD (Legacy),WY
2,Rocky Mountain Region,3,Black Hills NF,6,Mystic RD,SD
2,Rocky Mountain Region,3,Black Hills NF,7,,SD
2,Rocky Mountain Region,3,Black Hills NF,8,Northern Hills RD,SD
2,Rocky Mountain Region,3,Black Hills NF,9,Pactola RD (Legacy),SD
2,Rocky Mountain Region,3,Black Hills NF,11,Spearfish RD (Legacy),SD
2,Rocky Mountain Region,3,Black Hills NF,11,Spearfish RD (Legacy),WY
2,Rocky Mountain Region,3,Black Hills NF,14,Boxelder Job Corp,SD
2,Rocky Mountain Region,4,Grand Mesa-Uncomp-Gunnison NFs,0,Supervisor’s Office,CO
2,Rocky Mountain Region,4,Grand Mesa-Uncomp-Gunnison NFs,1,,CO
2,Rocky Mountain Region,4,Grand Mesa-Uncomp-Gunnison NFs,2,Grand Valley RD,CO
2,Rocky Mountain Region,4,Grand Mesa-Uncomp-Gunnison NFs,5,Norwood RD,CO
2,Rocky Mountain Region,4,Grand Mesa-Uncomp-Gunnison NFs,6,Ouray RD,CO
2,Rocky Mountain Region,4,Grand Mesa-Uncomp-Gunnison NFs,7,Gunnison RD,CO
2,Rocky Mountain Region,4,Grand Mesa-Uncomp-Gunnison NFs,8,Paonia RD,CO
2,Rocky Mountain Region,4,Grand Mesa-Uncomp-Gunnison NFs,9,Taylor River RD (Legacy),CO
2,Rocky Mountain Region,4,Grand Mesa-Uncomp-Gunnison NFs,95,,CO
2,Rocky Mountain Region,6,Medicine Bow-Routt NF,0,Supervisor’s Office,WY
2,Rocky Mountain Region,6,Medicine Bow-Routt NF,1,Yampa RD,CO
2,Rocky Mountain Region,6,Medicine Bow-Routt NF,2,Brush Creek-Hayden RD,WY
2,Rocky Mountain Region,6,Medicine Bow-Routt NF,3,Hahns Pk-Bears Ears RD,CO
2,Rocky Mountain Region,6,Medicine Bow-Routt NF,4,Parks RD,WY
2,Rocky Mountain Region,6,Medicine Bow-Routt NF,5,Laramie RD,WY
2,Rocky Mountain Region,6,Medicine Bow-Routt NF,6,Laramie Peak RD (Legacy),WY
2,Rocky Mountain Region,6,Medicine Bow-Routt NF,9,Douglas-Thunder Basin RD,WY
2,Rocky Mountain Region,6,Medicine Bow-Routt NF,11,,
2,Rocky Mountain Region,7,Nebraska NF,0,Supervisor’s Office,NE
2,Rocky Mountain Region,7,Nebraska NF,1,Bessey RD,NE
2,Rocky Mountain Region,7,Nebraska NF,2,Pine Ridge RD,NE
2,Rocky Mountain Region,7,Nebraska NF,3,Bessey Nursery,NE
2,Rocky Mountain Region,7,Nebraska NF,4,Pine Ridge Civilian Consv Center,NE
2,Rocky Mountain Region,7,Nebraska NF,5,Fall River RD,SD
2,Rocky Mountain Region,7,Nebraska NF,6,Wall RD,SD
2,Rocky Mountain Region,7,Nebraska NF,31,,NE
2,Rocky Mountain Region,7,Nebraska NF,47,,NE
2,Rocky Mountain Region,9,Rio Grande NF,0,Supervisor’s Office,CO
2,Rocky Mountain Region,9,Rio Grande NF,1,,CO
2,Rocky Mountain Region,9,Rio Grande NF,2,,CO
2,Rocky Mountain Region,9,Rio Grande NF,3,Conejos Peak RD,CO
2,Rocky Mountain Region,9,Rio Grande NF,4,Divide RD,CO
2,Rocky Mountain Region,9,Rio Grande NF,5,Mancos/Dolores RD (Legacy),CO
2,Rocky Mountain Region,9,Rio Grande NF,6,Pagosa RD (Legacy),CO
2,Rocky Mountain Region,9,Rio Grande NF,7,Saguache RD,CO
2,Rocky Mountain Region,9,Rio Grande NF,8,Columbine RD (Legacy),CO
2,Rocky Mountain Region,10,Araphao-Roosevelt NF,0,Supervisor’s Office,CO
2,Rocky Mountain Region,10,Araphao-Roosevelt NF,1,Boulder RD,CO
2,Rocky Mountain Region,10,Araphao-Roosevelt NF,4,Estes-Poudre RD (Legacy),CO
2,Rocky Mountain Region,10,Araphao-Roosevelt NF,5,Canyon Lakes RD,CO
2,Rocky Mountain Region,10,Araphao-Roosevelt NF,6,Pawnee NG,CO
2,Rocky Mountain Region,10,Araphao-Roosevelt NF,7,Clear Creek RD,CO
2,Rocky Mountain Region,10,Araphao-Roosevelt NF,8,Sulphur RD,CO
2,Rocky Mountain Region,10,Araphao-Roosevelt NF,97,,CO
2,Rocky Mountain Region,11,Routt NF (Legacy),1,,CO
2,Rocky Mountain Region,11,Routt NF (Legacy),3,,CO
2,Rocky Mountain Region,11,Routt NF (Legacy),4,,CO
2,Rocky Mountain Region,11,Routt NF (Legacy),5,,CO
2,Rocky Mountain Region,11,Routt NF (Legacy),6,,CO
2,Rocky Mountain Region,12,Pike-San Isabel NF,0,Supervisor’s Office,CO
2,Rocky Mountain Region,12,Pike-San Isabel NF,1,Leadville RD,CO
2,Rocky Mountain Region,12,Pike-San Isabel NF,2,Salida RD,CO
2,Rocky Mountain Region,12,Pike-San Isabel NF,3,San Carlos RD,CO
2,Rocky Mountain Region,12,Pike-San Isabel NF,6,Comanche NG,CO
2,Rocky Mountain Region,12,Pike-San Isabel NF,7,Cimarron NG,KS
2,Rocky Mountain Region,12,Pike-San Isabel NF,9,Pikes Peak RD,CO
2,Rocky Mountain Region,12,Pike-San Isabel NF,10,South Park RD,CO
2,Rocky Mountain Region,12,Pike-San Isabel NF,11,South Platte RD,CO
2,Rocky Mountain Region,13,San Juan NF,0,Supervisor’s Office,CO
2,Rocky Mountain Region,13,San Juan NF,1,,CO
2,Rocky Mountain Region,13,San Juan NF,2,,CO
2,Rocky Mountain Region,13,San Juan NF,5,Mancos-Dolores RD,CO
2,Rocky Mountain Region,13,San Juan NF,6,Pagosa RD,CO
2,Rocky Mountain Region,13,San Juan NF,8,Columbine RD,CO
2,Rocky Mountain Region,14,Shoshone NF,0,Supervisor’s Office,WY
2,Rocky Mountain Region,14,Shoshone NF,1,Clarks Fork RD,WY
2,Rocky Mountain Region,14,Shoshone NF,2,Greybull RD,WY
2,Rocky Mountain Region,14,Shoshone NF,3,Washakie RD,WY
2,Rocky Mountain Region,14,Shoshone NF,4,Wapiti RD,WY
2,Rocky Mountain Region,14,Shoshone NF,5,Wind River RD,WY
2,Rocky Mountain Region,15,White River NF,0,Supervisor’s Office,CO
2,Rocky Mountain Region,15,White River NF,1,West Zone/Aspen RD,CO
2,Rocky Mountain Region,15,White River NF,2,West Zone/Blanco RD,CO
2,Rocky Mountain Region,15,White River NF,3,West Zone/Sopris RD,CO
2,Rocky Mountain Region,15,White River NF,4,East Zone/Eagle RD,CO
2,Rocky Mountain Region,15,White River NF,7,East Zone/Holy Cross RD,CO
2,Rocky Mountain Region,15,White River NF,8,West Zone/Rifle RD,CO
2,Rocky Mountain Region,15,White River NF,10,East Zone/Dillon RD,CO
2,Rocky Mountain Region,15,White River NF,97,,CO
2,Rocky Mountain Region,16,R2 Regional Projects/Services,,,CO
2,Rocky Mountain Region,31,R2 Regional Office,,,CO
3,Southwest Region,,,,,NM
3,Southwest Region,1,Apache-Sitgreaves NF,0,Supervisor’s Office,AZ
3,Southwest Region,1,Apache-Sitgreaves NF,1,Alpine RD,AZ
3,Southwest Region,1,Apache-Sitgreaves NF,2,Black Mesa RD,AZ
3,Southwest Region,1,Apache-Sitgreaves NF,3,Clifton RD,AZ
3,Southwest Region,1,Apache-Sitgreaves NF,4,Chevelon RD (Legacy),AZ
3,Southwest Region,1,Apache-Sitgreaves NF,5,Heber RD (Legacy),AZ
3,Southwest Region,1,Apache-Sitgreaves NF,6,Springerville RD,AZ
3,Southwest Region,1,Apache-Sitgreaves NF,7,Lakeside RD,AZ
3,Southwest Region,1,Apache-Sitgreaves NF,8,,AZ
3,Southwest Region,2,Carson NF,0,Supervisor’s Office,NM
3,Southwest Region,2,Carson NF,1,Canjilon RD,NM
3,Southwest Region,2,Carson NF,2,El Rito RD,NM
3,Southwest Region,2,Carson NF,3,Jicarilla RD,NM
3,Southwest Region,2,Carson NF,4,Camino Real RD,NM
3,Southwest Region,2,Carson NF,5,,NM
3,Southwest Region,2,Carson NF,6,Tres Piedras RD,NM
3,Southwest Region,2,Carson NF,7,Questa RD,NM
3,Southwest Region,3,Cibola NF,0,Supervisor’s Office,NM
3,Southwest Region,3,Cibola NF,1,,NM
3,Southwest Region,3,Cibola NF,2,Mount Taylor RD,NM
3,Southwest Region,3,Cibola NF,3,Magdalena RD,NM
3,Southwest Region,3,Cibola NF,4,Mountainair RD,NM
3,Southwest Region,3,Cibola NF,5,Sandia RD,NM
3,Southwest Region,3,Cibola NF,6,Black Kettle Nat'L Grasslands,OK
3,Southwest Region,3,Cibola NF,6,Black Kettle Nat'L Grasslands,TX
3,Southwest Region,3,Cibola NF,7,Kiowa/Rita Blanca Nal'L Grasslands,NM
3,Southwest Region,3,Cibola NF,8,Rita Blanca RD (Legacy),OK
3,Southwest Region,3,Cibola NF,8,Rita Blanca RD (Legacy),TX
3,Southwest Region,4,Coconino NF,0,Supervisor’s Office,AZ
3,Southwest Region,4,Coconino NF,1,Beaver Creek RD (Legacy),AZ
3,Southwest Region,4,Coconino NF,2,Peaks RD,AZ
3,Southwest Region,4,Coconino NF,3,Flagstaff RD (Legacy),AZ
